City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
226,kerikeri,-35.2268,173.9474,11.06,87,100,1.23,NZ,1689748470
227,harstad,68.799,16.5293,12.66,100,100,5.36,NO,1689748604
228,usinsk,65.9939,57.5281,27.04,38,13,3.72,RU,1689748605
229,richards bay,-28.783,32.0377,21.49,79,34,7.69,ZA,1689748605
230,santa rosa de copan,14.7667,-88.7833,17.3,100,100,0.62,HN,1689748605
231,michalovce,48.7543,21.9195,22.29,66,93,0.59,SK,1689748605
232,kabalo,-6.05,26.9167,27.95,30,65,4.09,CD,1689748605
233,pizarro,4.9533,-77.366,26.79,91,53,1.16,CO,1689748605
234,quelimane,-17.8786,36.8883,18.97,94,75,1.54,MZ,1689748605
235,kiama,-34.6833,150.8667,14.58,50,84,3.77,AU,1689748605
236,kapa'a,22.0752,-159.319,27.18,73,75,10.8,US,1689748606
237,palmer,42.1584,-72.3287,22.23,85,100,1.54,US,1689748321
238,nanning,22.8167,108.3167,29.25,72,90,4.67,CN,1689748588
239,geraldton,-28.7667,114.6,16.23,51,75,7.72,AU,1689748606
240,coron,11.9986,120.2043,30.29,64,100,3.0,PH,1689748606
241,timizart,36.8,4.2667,36.91,14,0,2.79,DZ,1689748606
242,crieff,56.3727,-3.8389,12.82,84,54,1.05,GB,1689748606
243,lagunillas,10.1301,-71.2595,27.08,84,26,3.39,VE,1689748606
244,hermanus,-34.4187,19.2345,8.22,60,100,5.69,ZA,1689748606
245,inarajan village,13.2736,144.7484,30.22,85,99,4.94,GU,1689748607
246,nacala,-14.5428,40.6728,25.67,66,94,4.1,MZ,1689748567
247,canasgordas,6.7499,-76.0254,16.42,91,100,1.79,CO,1689748607
248,cabedelo,-6.9811,-34.8339,23.37,84,28,5.72,BR,1689748607
249,chistyye bory,58.3647,41.6278,17.0,98,100,2.97,RU,1689748607
250,monguno,12.6786,13.6079,31.08,46,100,6.55,NG,1689748607
251,san luis de la loma,17.2706,-100.8939,27.01,80,20,1.54,MX,1689748608
252,bucerias,20.75,-105.3333,25.6,89,94,2.36,MX,1689748397
253,al bawiti,28.3492,28.8659,31.87,27,0,1.99,EG,1689748608
254,del rio,29.3627,-100.8968,33.06,35,0,5.66,US,1689748472
255,elhovo,42.1667,26.5667,28.42,51,0,2.86,BG,1689748608
256,humaita,-7.5061,-63.0208,24.72,55,91,1.14,BR,1689748608
257,merta,26.65,74.0333,34.37,50,100,1.37,IN,1689748608
258,seeb,23.6703,58.1891,35.05,71,67,3.09,OM,1689748608
259,merizo village,13.2658,144.6691,29.99,85,100,5.08,GU,1689748609
260,fonte boa,-2.4959,-66.2662,22.38,97,21,1.0,BR,1689748609
261,butembo,0.15,29.2833,23.92,39,100,0.44,CD,1689748609
262,ataq,14.5377,46.8319,31.54,33,31,4.2,YE,1689748609
263,limbiate,45.5968,9.129,27.47,80,29,0.45,IT,1689748609
264,yigo village,13.5361,144.8886,29.3,77,40,4.12,GU,1689748609
265,caleta de carquin,-11.0925,-77.6267,18.57,85,68,4.52,PE,1689748609
